17;111111900;F;00000000000000000409;249;00000145852,21;C;00000000000,00;00000039666,66;00000185518,87;C;
17;111111900;F;00000000000000000339;250;00000130013,65;C;00000000000,00;00000019073,16;00000149086,81;C;
17;111111900;F;00000000000000000400;250;00000000950,60;C;00000000000,00;00000000000,00;00000000950,60;C;
17;111111900;F;00000000000000000410;253;00000000000,00; ;00000000000,00;00000025749,15;00000025749,15;C;
17;111111900;F;00000000000000000502;253;00000000000,00; ;00000000000,00;00000011753,00;00000011753,00;C;
17;111111900;F;00000000000000005099;253;00000000000,00; ;00000000000,00;00000000580,00;00000000580,00;C;
17;111111900;F;00000000000000000396;255;00000050521,20;C;00000000000,00;00000125482,25;00000176003,45;C;
17;111111900;F;00000000000000000415;255;00000003492,00;C;00000000000,00;00000006912,00;00000010404,00;C;
17;111111900;F;00000000000000005024;255;00000002155,00;C;00000000000,00;00000000620,00;00000002775,00;C;
17;111111900;F;00000000000000005026;255;00000000000,00; ;00000000000,00;00000019721,00;00000019721,00;C;
10;111115099;00009630060,71;D;00005423716,19;00011058803,42;00003994973,48;D;
17;111115099;F;00000000000000000001;100;00000008455,61;C;00000000038,65;00000000914,97;00000009331,93;C;
17;111115099;F;00000000000000000003;100;00000420032,69;C;00000995592,20;00000954118,62;00000378559,11;C;
17;111115099;F;00000000000000000006;100;00000004669,40;D;00000000044,15;00000000000,00;00000004713,55;D;
17;111115099;F;00000000000000000012;100;00000000251,28;C;00000022429,65;00000000000,00;00000022178,37;D;
17;111115099;F;00000000000000000043;100;00000005470,45;D;00000141859,51;00000066996,01;00000080333,95;D;
17;111115099;F;00000000000000000044;100;00000089270,99;D;00000175246,65;00000219824,68;00000044692,96;D;
17;111115099;F;00000000000000000049;100;00000008980,39;D;00000000075,29;00000000000,00;00000009055,68;D;
17;111115099;F;00000000000000000137;100;00000005073,24;D;00000000037,02;00000000000,00;00000005110,26;D;
17;111115099;F;00000000000000000265;100;00000031995,43;D;00000031518,34;00000020000,00;00000043513,77;D;
17;111115099;F;00000000000000000318;100;00000000504,88;C;00000102891,27;00000000000,00;00000102386,39;D;
17;111115099;F;00000000000000000374;100;00000002021,78;C;00000000002,34;00000000224,51;00000002243,95;C;
17;111115099;F;00000000000000000376;100;00000012655,65;C;00000143509,06;00000026392,65;00000104460,76;D;
17;111115099;F;00000000000000000377;100;00000000286,71;C;00000011971,20;00000000000,00;00000011684,49;D;
17;111115099;F;00000000000000000413;100;00000015818,39;D;00000017915,28;00000016457,60;00000017276,07;D;
17;111115099;F;00000000000000000420;100;00000024763,56;D;00000000178,20;00000000000,00;00000024941,76;D;
17;111115099;F;00000000000000000422;100;00000130900,26;C;00000094095,14;00000058118,39;00000094923,51;C;
17;111115099;F;00000000000000005075;100;00000508329,94;D;00000037019,80;00000082297,99;00000463051,75;D;
17;111115099;F;00000000000000005109;100;00000148454,96;D;00000836984,05;00000592894,54;00000392544,47;D;
17;111115099;F;00000000000000000200;101;00006568995,36;D;00000059248,76;00004906000,00;00001722244,12;D;
17;111115099;F;00000000000000000219;102;00000016135,59;D;00000289251,55;00000291064,25;00000014322,89;D;
17;111115099;F;00000000000000000261;102;00000069914,02;C;00000468804,43;00000375904,81;00000022985,60;D;
17;111115099;F;00000000000000000266;116;00000036347,01;D;00000003007,86;00000002673,73;00000036681,14;D;
17;111115099;F;00000000000000000315;118;00000207060,97;C;00000914816,08;00000760046,96;00000052291,85;C;
17;111115099;F;00000000000000000417;122;00000118433,68;C;00000000000,00;00000000000,00;00000118433,68;C;
17;111115099;F;00000000000000000406;123;00000058875,26;C;00000000464,97;00000014069,25;00000072479,54;C;
17;111115099;F;00000000000000005118;123;00000043291,98;D;00000000348,38;00000000000,00;00000043640,36;D;
17;111115099;F;00000000000000000407;124;00000001553,60;C;00000000000,00;00000000000,00;00000001553,60;C;
17;111115099;F;00000000000000004116;124;00000633536,02;D;00000004363,83;00000000000,00;00000637899,85;D;
17;111115099;F;00000000000000000380;129;00000013954,61;D;00000014773,76;00000000000,00;00000028728,37;D;
17;111115099;F;00000000000000000381;129;00000005684,67;C;00000000000,02;00000000000,00;00000005684,65;C;
17;111115099;F;00000000000000000382;129;00000000199,20;D;00000000001,73;00000000000,00;00000000200,93;D;
17;111115099;F;00000000000000000383;129;00000022127,76;C;00000000009,41;00000002301,80;00000024420,15;C;
17;111115099;F;00000000000000000384;129;00000060111,09;C;00000004868,36;00000026796,82;00000082039,55;C;
17;111115099;F;00000000000000000385;129;00000007789,82;C;00000000976,72;00000001941,80;00000008754,90;C;
17;111115099;F;00000000000000000386;129;00000023703,08;C;00000001231,72;00000019444,06;00000041915,42;C;
17;111115099;F;00000000000000000387;129;00000020782,88;D;00000008314,56;00000021371,65;00000007725,79;D;
17;111115099;F;00000000000000000398;129;00000004808,37;D;00000000116,91;00000001644,91;00000003280,37;D;
17;111115099;F;00000000000000000418;129;00000008928,88;D;00000000565,86;00000022061,93;00000012567,19;C;
17;111115099;F;00000000000000000424;129;00000016700,29;C;00000028199,18;00000032141,85;00000020642,96;C;
17;111115099;F;00000000000000004050;144;00000042081,63;D;00000000110,16;00000040873,68;00000001318,11;D;
17;111115099;F;00000000000000003985;146;00000315555,42;D;00000002539,37;00000000000,00;00000318094,79;D;
17;111115099;F;00000000000000005040;146;00000437335,16;D;00000003090,33;00000000000,00;00000440425,49;D;
17;111115099;F;00000000000000005042;146;00000268527,67;D;00000002160,93;00000000000,00;00000270688,60;D;
17;111115099;F;00000000000000000260;147;00000000353,58;D;00000000005,15;00000000000,00;00000000358,73;D;
17;111115099;F;00000000000000000340;148;00000419263,44;D;00000286119,74;00001420352,90;00000714969,72;C;
17;111115099;F;00000000000000000402;148;00000063602,90;D;00000000618,06;00000000000,00;00000064220,96;D;
17;111115099;F;00000000000000000403;148;00000022258,98;C;00000000000,00;00000000000,00;00000022258,98;C;
17;111115099;F;00000000000000000410;148;00000004364,20;D;00000000155,08;00000025749,15;00000021229,87;C;
17;111115099;F;00000000000000000409;149;00000721917,65;D;00000598041,32;00000793172,86;00000526786,11;D;
